#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 5.000000000000e+03   4.922622747757e+14   7.886911144453e-02  
 5.014501450145e+03   4.920781907237e+14   7.883961792786e-02  
 5.029002900290e+03   4.918931564290e+14   7.880997216550e-02  
 5.043504350435e+03   4.917071791860e+14   7.878017532619e-02  
 5.058005800580e+03   4.915202662320e+14   7.875022856944e-02  
 5.072507250725e+03   4.913324247474e+14   7.872013304569e-02  
 5.087008700870e+03   4.911436618563e+14   7.868988989634e-02  
 5.101510151015e+03   4.909539846274e+14   7.865950025392e-02  
 5.116011601160e+03   4.907634000739e+14   7.862896524208e-02  
 5.130513051305e+03   4.905719151674e+14   7.859828597778e-02  
 5.145014501450e+03   4.903795367876e+14   7.856746356328e-02  
 5.159515951595e+03   4.901862717984e+14   7.853649909830e-02  
 5.174017401740e+03   4.899921269982e+14   7.850539367204e-02  
 5.188518851885e+03   4.897971091330e+14   7.847414836536e-02  
 5.203020302030e+03   4.896012249098e+14   7.844276425282e-02  
 5.217521752175e+03   4.894044809457e+14   7.841124239460e-02  
 5.232023202320e+03   4.892068838452e+14   7.837958384887e-02  
 5.246524652465e+03   4.890084401498e+14   7.834778966368e-02  
 5.261026102610e+03   4.888091563510e+14   7.831586087908e-02  
 5.275527552755e+03   4.886090388909e+14   7.828379852722e-02  
 5.290029002900e+03   4.884080941627e+14   7.825160363240e-02  
 5.304530453045e+03   4.882063285113e+14   7.821927721117e-02  
 5.319031903190e+03   4.880037482465e+14   7.818682027449e-02  
 5.333533353335e+03   4.878003595913e+14   7.815423381939e-02  
 5.348034803480e+03   4.875961687609e+14   7.812151884166e-02  
 5.362536253625e+03   4.873911819108e+14   7.808867632751e-02  
 5.377037703770e+03   4.871854051503e+14   7.805570725577e-02  
 5.391539153915e+03   4.869788445432e+14   7.802261259794e-02  
 5.406040604060e+03   4.867715061077e+14   7.798939331828e-02  
 5.420542054205e+03   4.865633958444e+14   7.795605037815e-02  
 5.435043504350e+03   4.863545196286e+14   7.792258471892e-02  
 5.449544954495e+03   4.861448833719e+14   7.788899728772e-02  
 5.464046404640e+03   4.859344929158e+14   7.785528902043e-02  
 5.478547854785e+03   4.857233540584e+14   7.782146084604e-02  
 5.493049304930e+03   4.855114725686e+14   7.778751368884e-02  
 5.507550755076e+03   4.852988541327e+14   7.775344845984e-02  
 5.522052205221e+03   4.850855044349e+14   7.771926606977e-02  
 5.536553655366e+03   4.848714291046e+14   7.768496742056e-02  
 5.551055105511e+03   4.846566337300e+14   7.765055340754e-02  
 5.565556555656e+03   4.844411238586e+14   7.761602491950e-02  
 5.580058005801e+03   4.842249049971e+14   7.758138283872e-02  
 5.594559455946e+03   4.840079826124e+14   7.754662804110e-02  
 5.609060906091e+03   4.837903621315e+14   7.751176139615e-02  
 5.623562356236e+03   4.835720489422e+14   7.747678376707e-02  
 5.638063806381e+03   4.833530484072e+14   7.744169601307e-02  
 5.652565256526e+03   4.831333658089e+14   7.740649898047e-02  
 5.667066706671e+03   4.829130064327e+14   7.737119351612e-02  
 5.681568156816e+03   4.826919755268e+14   7.733578046084e-02  
 5.696069606961e+03   4.824702782593e+14   7.730026064266e-02  
 5.710571057106e+03   4.822479198175e+14   7.726463489267e-02  
 5.725072507251e+03   4.820249052951e+14   7.722890402699e-02  
 5.739573957396e+03   4.818012397917e+14   7.719306886265e-02  
 5.754075407541e+03   4.815769283566e+14   7.715713020865e-02  
 5.768576857686e+03   4.813519760031e+14   7.712108886818e-02  
 5.783078307831e+03   4.811263877088e+14   7.708494563879e-02  
 5.797579757976e+03   4.809001684163e+14   7.704870131232e-02  
 5.812081208121e+03   4.806733230329e+14   7.701235667504e-02  
 5.826582658266e+03   4.804458564314e+14   7.697591250766e-02  
 5.841084108411e+03   4.802177734503e+14   7.693936958536e-02  
 5.855585558556e+03   4.799890789084e+14   7.690272868022e-02  
 5.870087008701e+03   4.797597775475e+14   7.686599055196e-02  
 5.884588458846e+03   4.795298741189e+14   7.682915596183e-02  
 5.899089908991e+03   4.792993733268e+14   7.679222566350e-02  
 5.913591359136e+03   4.790682798566e+14   7.675520040769e-02  
 5.928092809281e+03   4.788365983181e+14   7.671808093293e-02  
 5.942594259426e+03   4.786043333465e+14   7.668086798188e-02  
 5.957095709571e+03   4.783714894866e+14   7.664356228272e-02  
 5.971597159716e+03   4.781380712954e+14   7.660616456553e-02  
 5.986098609861e+03   4.779040832839e+14   7.656867555307e-02  
 6.000600060006e+03   4.776695299318e+14   7.653109596306e-02  
 6.015101510151e+03   4.774344156880e+14   7.649342650827e-02  
 6.029602960296e+03   4.771987449705e+14   7.645566789659e-02  
 6.044104410441e+03   4.769625221821e+14   7.641782083339e-02  
 6.058605860586e+03   4.767257516508e+14   7.637988601209e-02  
 6.073107310731e+03   4.764884377339e+14   7.634186413084e-02  
 6.087608760876e+03   4.762505846998e+14   7.630375587349e-02  
 6.102110211021e+03   4.760121968320e+14   7.626556192632e-02  
 6.116611661166e+03   4.757732783700e+14   7.622728296860e-02  
 6.131113111311e+03   4.755338335399e+14   7.618891967740e-02  
 6.145614561456e+03   4.752938664934e+14   7.615047271792e-02  
 6.160116011601e+03   4.750533813992e+14   7.611194275805e-02  
 6.174617461746e+03   4.748123823829e+14   7.607333045878e-02  
 6.189118911891e+03   4.745708735421e+14   7.603463647661e-02  
 6.203620362036e+03   4.743288589466e+14   7.599586146361e-02  
 6.218121812181e+03   4.740863426390e+14   7.595700606747e-02  
 6.232623262326e+03   4.738433286345e+14   7.591807093150e-02  
 6.247124712471e+03   4.735998209213e+14   7.587905669467e-02  
 6.261626162616e+03   4.733558234609e+14   7.583996399169e-02  
 6.276127612761e+03   4.731113401883e+14   7.580079345301e-02  
 6.290629062906e+03   4.728663750119e+14   7.576154570484e-02  
 6.305130513051e+03   4.726209318143e+14   7.572222136922e-02  
 6.319631963196e+03   4.723750144521e+14   7.568282106406e-02  
 6.334133413341e+03   4.721286267717e+14   7.564334540561e-02  
 6.348634863486e+03   4.718817725633e+14   7.560379500115e-02  
 6.363136313631e+03   4.716344555913e+14   7.556417045377e-02  
 6.377637763776e+03   4.713866796261e+14   7.552447236757e-02  
 6.392139213921e+03   4.711384483980e+14   7.548470134022e-02  
 6.406640664066e+03   4.708897656125e+14   7.544485796542e-02  
 6.421142114211e+03   4.706406349509e+14   7.540494283293e-02  
 6.435643564356e+03   4.703910600700e+14   7.536495652867e-02  
 6.450145014501e+03   4.701410446025e+14   7.532489963465e-02  
 6.464646464646e+03   4.698905921575e+14   7.528477272912e-02  
 6.479147914791e+03   4.696397063202e+14   7.524457638648e-02  
 6.493649364936e+03   4.693883906523e+14   7.520431117741e-02  
 6.508150815082e+03   4.691366486925e+14   7.516397766881e-02  
 6.522652265227e+03   4.688844839560e+14   7.512357642394e-02  
 6.537153715372e+03   4.686318999353e+14   7.508310800234e-02  
 6.551655165517e+03   4.683789001002e+14   7.504257295992e-02  
 6.566156615662e+03   4.681254878978e+14   7.500197184897e-02  
 6.580658065807e+03   4.678716667529e+14   7.496130521822e-02  
 6.595159515952e+03   4.676174400844e+14   7.492057361542e-02  
 6.609660966097e+03   4.673628112406e+14   7.487977757702e-02  
 6.624162416242e+03   4.671077835960e+14   7.483891764371e-02  
 6.638663866387e+03   4.668523605044e+14   7.479799435279e-02  
 6.653165316532e+03   4.665965452484e+14   7.475700823021e-02  
 6.667666766677e+03   4.663403411385e+14   7.471595980637e-02  
 6.682168216822e+03   4.660837514642e+14   7.467484960830e-02  
 6.696669666967e+03   4.658267794447e+14   7.463367815178e-02  
 6.711171117112e+03   4.655694283274e+14   7.459244595710e-02  
 6.725672567257e+03   4.653117013229e+14   7.455115353863e-02  
 6.740174017402e+03   4.650536016210e+14   7.450980140747e-02  
 6.754675467547e+03   4.647951323913e+14   7.446839007143e-02  
 6.769176917692e+03   4.645362967833e+14   7.442692003510e-02  
 6.783678367837e+03   4.642770979261e+14   7.438539179986e-02  
 6.798179817982e+03   4.640175389294e+14   7.434380586388e-02  
 6.812681268127e+03   4.637576228827e+14   7.430216272221e-02  
 6.827182718272e+03   4.634973528562e+14   7.426046286671e-02  
 6.841684168417e+03   4.632367319006e+14   7.421870678616e-02  
 6.856185618562e+03   4.629757630641e+14   7.417689496896e-02  
 6.870687068707e+03   4.627144493254e+14   7.413502789233e-02  
 6.885188518852e+03   4.624527936944e+14   7.409310603852e-02  
 6.899689968997e+03   4.621907991454e+14   7.405112988406e-02  
